,Tweet Id
539,1.39659E+18
540,1.39659E+18
541,1.39659E+18
542,1.39659E+18
543,1.39659E+18
544,1.39659E+18
545,1.39659E+18
547,1.39659E+18
548,1.39659E+18
549,1.39659E+18
550,1.39659E+18
551,1.39659E+18
552,1.39659E+18
553,1.39659E+18
555,1.39659E+18
556,1.39659E+18
557,1.39659E+18
558,1.39659E+18
559,1.39659E+18
560,1.39659E+18
561,1.39659E+18
562,1.39659E+18
563,1.39659E+18
564,1.39659E+18
565,1.39659E+18
566,1.39659E+18
567,1.39659E+18
568,1.39659E+18
569,1.39659E+18
570,1.39659E+18
571,1.39659E+18
572,1.39659E+18
573,1.39659E+18
574,1.39659E+18
575,1.39659E+18
576,1.39659E+18
577,1.39659E+18
578,1.39659E+18
579,1.39659E+18
580,1.39659E+18
581,1.39659E+18
582,1.39659E+18
583,1.39659E+18
584,1.39659E+18
585,1.39659E+18
586,1.39659E+18
587,1.39659E+18
588,1.39659E+18
589,1.39659E+18
590,1.39659E+18
591,1.39659E+18
592,1.39659E+18
593,1.39659E+18
594,1.39659E+18
595,1.39659E+18
596,1.39659E+18
597,1.39659E+18
598,1.39659E+18
599,1.39658E+18
600,1.39658E+18
601,1.39658E+18
602,1.39658E+18
603,1.39658E+18
605,1.39658E+18
606,1.39658E+18
607,1.39658E+18
608,1.39658E+18
609,1.39658E+18
611,1.39658E+18
612,1.39658E+18
613,1.39658E+18
614,1.39658E+18
615,1.39658E+18
616,1.39658E+18
617,1.39658E+18
618,1.39658E+18
619,1.39658E+18
620,1.39658E+18
621,1.39658E+18
622,1.39658E+18
623,1.39658E+18
624,1.39658E+18
626,1.39658E+18
627,1.39658E+18
628,1.39658E+18
629,1.39658E+18
630,1.39658E+18
631,1.39658E+18
632,1.39658E+18
633,1.39658E+18
634,1.39658E+18
636,1.39658E+18
637,1.39658E+18
639,1.39658E+18
641,1.39658E+18
642,1.39658E+18
643,1.39658E+18
644,1.39658E+18
648,1.39658E+18
649,1.39658E+18
650,1.39658E+18
651,1.39658E+18
652,1.39658E+18
653,1.39658E+18
654,1.39658E+18
655,1.39658E+18
656,1.39658E+18
657,1.39658E+18
658,1.39658E+18
659,1.39658E+18
660,1.39658E+18
661,1.39658E+18
662,1.39658E+18
663,1.39658E+18
664,1.39658E+18
665,1.39658E+18
667,1.39658E+18
668,1.39658E+18
669,1.39658E+18
670,1.39658E+18
671,1.39658E+18
672,1.39658E+18
673,1.39658E+18
674,1.39658E+18
675,1.39658E+18
676,1.39658E+18
677,1.39658E+18
678,1.39658E+18
679,1.39658E+18
680,1.39658E+18
681,1.39658E+18
682,1.39658E+18
683,1.39658E+18
684,1.39658E+18
685,1.39658E+18
686,1.39658E+18
687,1.39658E+18
688,1.39658E+18
689,1.39658E+18
690,1.39658E+18
692,1.39658E+18
693,1.39658E+18
695,1.39658E+18
696,1.39658E+18
697,1.39658E+18
698,1.39658E+18
699,1.39658E+18
700,1.39658E+18
701,1.39658E+18
702,1.39658E+18
703,1.39658E+18
704,1.39658E+18
705,1.39658E+18
706,1.39658E+18
707,1.39658E+18
708,1.39658E+18
709,1.39658E+18
710,1.39658E+18
712,1.39658E+18
713,1.39658E+18
714,1.39658E+18
716,1.39658E+18
717,1.39658E+18
718,1.39658E+18
719,1.39658E+18
721,1.39658E+18
722,1.39658E+18
724,1.39658E+18
726,1.39658E+18
727,1.39658E+18
728,1.39658E+18
729,1.39658E+18
730,1.39658E+18
731,1.39658E+18
732,1.39658E+18
733,1.39658E+18
734,1.39658E+18
735,1.39658E+18
736,1.39658E+18
737,1.39658E+18
738,1.39658E+18
739,1.39658E+18
740,1.39658E+18
741,1.39658E+18
742,1.39658E+18
743,1.39658E+18
744,1.39658E+18
745,1.39658E+18
746,1.39658E+18
747,1.39658E+18
748,1.39658E+18
749,1.39658E+18
750,1.39658E+18
751,1.39658E+18
752,1.39658E+18
753,1.39658E+18
754,1.39658E+18
755,1.39658E+18
756,1.39658E+18
757,1.39658E+18
758,1.39658E+18
759,1.39658E+18
760,1.39658E+18
761,1.39658E+18
762,1.39658E+18
763,1.39658E+18
765,1.39658E+18
766,1.39658E+18
767,1.39658E+18
768,1.39658E+18
769,1.39658E+18
770,1.39658E+18
771,1.39658E+18
772,1.39658E+18
773,1.39658E+18
774,1.39658E+18
775,1.39658E+18
776,1.39658E+18
777,1.39658E+18
778,1.39658E+18
779,1.39658E+18
780,1.39658E+18
782,1.39658E+18
783,1.39658E+18
784,1.39658E+18
785,1.39658E+18
786,1.39658E+18
787,1.39657E+18
788,1.39657E+18
789,1.39657E+18
790,1.39657E+18
791,1.39657E+18
792,1.39657E+18
793,1.39657E+18
794,1.39657E+18
795,1.39657E+18
796,1.39657E+18
797,1.39657E+18
798,1.39657E+18
799,1.39657E+18
800,1.39657E+18
801,1.39657E+18
